"County","Facility.ID","State","Urbanized.Area"
"Bexar County",3609,"TX","San Antonio, TX"
"Bexar County",3612,"TX","San Antonio, TX"
"Bexar County",3611,"TX","San Antonio, TX"
"Bexar County",3613,"TX","San Antonio, TX"
"Bexar County",7097,"TX","San Antonio, TX"
"Bexar County",3610,"TX","San Antonio, TX"
"Bexar County",6181,"TX","San Antonio, TX"
"Brazos County",6243,"TX","College Station-Bryan, TX"
"Brazos County",3561,"TX","College Station-Bryan, TX"
"Buncombe County",2706,"NC","Asheville, NC"
"Cabarrus County",10626,"NC","Concord, NC"
"Cameron County",3559,"TX","Brownsville, TX"
"Cameron County",3442,"TX","Brownsville, TX"
"Charleston County",7737,"SC","Charleston-North Charleston, SC"
"Charleston County",3285,"SC","Charleston-North Charleston, SC"
"Cochise County",160,"AZ","Sierra Vista, AZ"
"Coconino County",4941,"AZ","Flagstaff, AZ"
"Cumberland County",1016,"NC","Fayetteville, NC"
"Dane County",7991,"WI","Madison, WI"
"Dane County",55391,"WI","Madison, WI"
"Dane County",3991,"WI","Madison, WI"
"Dane County",3992,"WI","Madison, WI"
"Denton County",4266,"TX","Denton-Lewisville, TX"
"Durham County",NA,NA,"Durham, NC"
"Ector County",55215,"TX","Odessa, TX"
"Ector County",56349,"TX","Odessa, TX"
"El Paso County",9,"TX","El Paso, TX-NM"
"El Paso County",3456,"TX","El Paso, TX-NM"
"Forsyth County",50221,"NC","Winston-Salem, NC"
"Greenville County",NA,NA,"Greenville, SC"
"Harris County",55299,"TX","Houston, TX"
"Harris County",3464,"TX","Houston, TX"
"Harris County",10298,"TX","Houston, TX"
"Harris County",3468,"TX","Houston, TX"
"Harris County",50815,"TX","Houston, TX"
"Harris County",3461,"TX","Houston, TX"
"Harris County",3471,"TX","Houston, TX"
"Harris County",55047,"TX","Houston, TX"
"Harris County",3465,"TX","Houston, TX"
"Harris County",3469,"TX","Houston, TX"
"Harris County",7325,"TX","Houston, TX"
"Harris County",10741,"TX","Houston, TX"
"Harris County",55365,"TX","Houston, TX"
"Harris County",55187,"TX","Houston, TX"
"Harris County",55464,"TX","Houston, TX"
"Harris County",10670,"TX","Houston, TX"
"Horry County",3320,"SC","Myrtle Beach-Socastee, SC-NC"
"Horry County",3317,"SC","Myrtle Beach-Socastee, SC-NC"
"Jefferson County",7159,"WI","Beaumont, TX"
"Jefferson County",55011,"WI","Beaumont, TX"
"Jefferson County",50625,"TX","Beaumont, TX"
"Jefferson County",3458,"TX","Beaumont, TX"
"Lubbock County",3602,"TX","Lubbock, TX"
"Lubbock County",3604,"TX","Lubbock, TX"
"Lubbock County",3482,"TX","Lubbock, TX"
"Marathon County",4078,"WI","Wausau, WI"
"Maricopa County",117,"AZ","Phoenix-Mesa, AZ"
"Maricopa County",55372,"AZ","Phoenix-Mesa, AZ"
"Maricopa County",116,"AZ","Phoenix-Mesa, AZ"
"Maricopa County",8068,"AZ","Phoenix-Mesa, AZ"
"Maricopa County",55481,"AZ","Phoenix-Mesa, AZ"
"Maricopa County",55306,"AZ","Phoenix-Mesa, AZ"
"Maricopa County",55455,"AZ","Phoenix-Mesa, AZ"
"Maricopa County",141,"AZ","Phoenix-Mesa, AZ"
"Maricopa County",147,"AZ","Phoenix-Mesa, AZ"
"Maricopa County",55282,"AZ","Phoenix-Mesa, AZ"
"McLennan County",3502,"TX","Waco, TX"
"McLennan County",56611,"TX","Waco, TX"
"McLennan County",3506,"TX","Waco, TX"
"Mecklenburg County",NA,NA,"Charlotte, NC"
"New Hanover County",2713,"NC","Wilmington, NC"
"Nueces County",4939,"TX","Corpus Christi, TX"
"Nueces County",3441,"TX","Corpus Christi, TX"
"Nueces County",3440,"TX","Corpus Christi, TX"
"Nueces County",55206,"TX","Corpus Christi, TX"
"Olmsted County",2008,"MN","Rochester, MN"
"Olmsted County",6058,"MN","Rochester, MN"
"Pima County",124,"AZ","Tucson, AZ"
"Pima County",126,"AZ","Tucson, AZ"
"Racine County",NA,NA,"Racine, WI"
"Richland County",52151,"SC","Columbia, SC"
"Richland County",3297,"SC","Columbia, SC"
"Rock County",4048,"WI","Beloit, WI-IL"
"Rock County",4048,"WI","Janesville, WI"
"Rock County",4057,"WI","Beloit, WI-IL"
"Rock County",4057,"WI","Janesville, WI"
"Rock County",4059,"WI","Beloit, WI-IL"
"Rock County",4059,"WI","Janesville, WI"
"Rock County",55641,"WI","Beloit, WI-IL"
"Rock County",55641,"WI","Janesville, WI"
"St. Louis County",1897,"MN","Duluth, MN-WI"
"St. Louis County",1891,"MN","Duluth, MN-WI"
"Travis County",3550,"TX","Minneapolis-St. Paul, MN"
"Travis County",3550,"TX","Austin, TX"
"Travis County",3549,"TX","Minneapolis-St. Paul, MN"
"Travis County",3549,"TX","Austin, TX"
"Travis County",7900,"TX","Minneapolis-St. Paul, MN"
"Travis County",7900,"TX","Austin, TX"
"Travis County",3548,"TX","Minneapolis-St. Paul, MN"
"Travis County",3548,"TX","Austin, TX"
"Webb County",3439,"TX","Laredo, TX"
NA,NA,NA,"Lake Havasu City, AZ"
"Berkeley County",130,"SC","Charleston-North Charleston, SC"
"Berkeley County",880092,"SC","Charleston-North Charleston, SC"
"Berkeley County",3298,"SC","Charleston-North Charleston, SC"
"Berkeley County",3319,"SC","Charleston-North Charleston, SC"
"Brunswick County",10378,"NC","Myrtle Beach-Socastee, SC-NC"
"Douglas County",55245,"IL","Columbia, SC"
"Ramsey County",1912,"MN","Minneapolis-St. Paul, MN"
"Winnebago County",55135,"WI","Beloit, WI-IL"
"Winnebago County",55936,"IL","Beloit, WI-IL"
"Winnebago County",55238,"IL","Beloit, WI-IL"
