"","x"
"1","Asheville, NC"
"2","Charleston-North Charleston, SC"
"3","Columbia, SC"
"4","Concord, NC"
"5","Durham, NC"
"6","Fayetteville, NC"
"7","Greenville, SC"
"8","Myrtle Beach-Socastee, SC-NC"
"9","Wilmington, NC"
"10","Winston-Salem, NC"
"11","Flagstaff, AZ"
"12","Lake Havasu City, AZ"
"13","Sierra Vista, AZ"
"14","Tucson, AZ"
"15","Beloit, WI-IL"
"16","Duluth, MN-WI"
"17","Janesville, WI"
"18","Madison, WI"
"19","Racine, WI"
"20","Rochester, MN"
"21","Wausau, WI"
"22","Austin, TX"
"23","Beaumont, TX"
"24","Brownsville, TX"
"25","College Station-Bryan, TX"
"26","Corpus Christi, TX"
"27","Denton-Lewisville, TX"
"28","El Paso, TX-NM"
"29","Laredo, TX"
"30","Lubbock, TX"
"31","Odessa, TX"
"32","San Antonio, TX"
"33","Waco, TX"
