"","Address","LINEARID","FULLNAME","RTTYP","MTFCC","agg_n"
"1","Asheville, NC",NA,NA,NA,"S1100",57
"2","Austin, TX",NA,NA,NA,"S1100",11
"3","Beaumont, TX",NA,NA,NA,"S1100",14
"4","Beloit, WI",NA,NA,NA,"S1100",23
"5","Brownsville, TX",NA,NA,NA,"S1100",9
"6","Charleston, SC",NA,NA,NA,"S1100",20
"7","Columbia, SC",NA,NA,NA,"S1100",39
"8","Concord, NC",NA,NA,NA,"S1100",35
"9","Corpus Christi, TX",NA,NA,NA,"S1100",14
"10","Duluth, MN",NA,NA,NA,"S1100",16
"11","Durham, NC",NA,NA,NA,"S1100",43
"12","El Paso, TX-NM",NA,NA,NA,"S1100",22
"13","Fayetteville, NC",NA,NA,NA,"S1100",12
"14","Flagstaff, AZ",NA,NA,NA,"S1100",8
"15","Greenville, SC",NA,NA,NA,"S1100",31
"16","Laredo, TX",NA,NA,NA,"S1100",4
"17","Lewisville, TX",NA,NA,NA,"S1100",42
"18","Lubbock, TX",NA,NA,NA,"S1100",8
"19","Odessa, TX",NA,NA,NA,"S1100",10
"20","Rochester, MN",NA,"I- 90","I","S1100",4
"21","San Antonio, TX",NA,NA,NA,"S1100",90
"22","Tucson, AZ",NA,NA,NA,"S1100",7
"23","Waco, TX",NA,NA,NA,"S1100",4
"24","Wausau, WI",NA,NA,NA,"S1100",5
"25","Wilmington, NC",NA,NA,NA,"S1100",10
"26","Winston-Salem, NC",NA,NA,NA,"S1100",28
